Speed,direction,precipitation
4.1152,360,0.0125
3.0864,350,0.0125
2.0576,70,0.0125
5.144,250,0.0125
4.6296,340,0.0125
4.1152,360,0.0125
7.716,320,0.0125
8.7448,310,0.0125
9.7736,300,0.0125
10.288,300,0.0125
9.2592,290,0.0125
8.2304,290,0.0125
8.2304,280,0.0125
6.1728,300,0.0125
5.6584,310,0.0125
8.2304,310,0.0125
7.2016,310,0.0125
7.716,310,0.0125
8.2304,310,0.0125
7.2016,310,0.0125
6.1728,315,0.0125
7.2016,320,0.0125
8.2304,315,0.0125
9.2592,315,0.0125
6.6872,330,0
5.144,330,0
5.6584,315,0
5.144,310,0
5.144,285,0
5.6584,270,0
7.716,255,0
10.288,255,0
7.2016,260,0
10.288,265,0
10.288,270,0
8.7448,270,0
8.2304,280,0
5.6584,290,0
7.2016,290,0
7.2016,300,0
7.2016,300,0
6.6872,300,0
7.2016,300,0
7.716,300,0
5.144,300,0
7.716,300,0
4.1152,320,0
4.6296,35,0
6.1728,340,0
5.144,345,0
4.1152,15,0
5.144,30,0
5.144,45,0
4.6296,65,0
5.144,45,0
5.144,30,0
4.6296,30,0
3.6008,50,0
3.6008,50,0
5.144,350,0
5.144,10,0
5.144,350,0
6.1728,340,0
8.2304,340,0
6.1728,330,0
5.144,300,0
6.6872,315,0
8.2304,310,0
8.2304,315,0
9.2592,315,0
5.144,250,0
3.0864,270,0
5.144,290,0.025
5.144,310,0.025
5.144,310,0.025
5.144,320,0.025
1.0288,340,0.025
2.572,30,0.025
3.0864,345,0.025
6.1728,330,0.025
7.716,330,0.025
7.2016,320,0.025
9.2592,315,0.025
7.2016,320,0.025
7.2016,310,0.025
6.1728,280,0.025
9.2592,280,0.025
9.2592,300,0.025
9.2592,290,0.025
7.716,290,0.025
6.6872,300,0.025
5.144,310,0.025
4.6296,340,0.025
6.1728,320,0.025
7.2016,300,0.025
7.716,300,0.025
3.6008,270,0
2.0576,240,0
1.0288,275,0
1.0288,290,0
1.0288,330,0
2.572,280,0
5.144,285,0
5.144,285,0
6.1728,300,0
5.144,295,0
6.1728,300,0
6.1728,310,0
6.1728,310,0
8.2304,305,0
8.2304,300,0
7.716,310,0
8.2304,310,0
7.2016,310,0
5.144,320,0
5.144,330,0
4.6296,10,0
5.144,10,0
5.144,15,0
5.144,15,0
6.1728,10,0
5.144,10,0
3.6008,15,0
2.572,60,0
4.1152,345,0
3.0864,330,0
4.1152,350,0
4.6296,360,0
10.288,330,0
9.2592,330,0
8.2304,315,0
8.2304,320,0
7.2016,320,0
7.2016,320,0
6.1728,300,0
6.1728,310,0
5.144,290,0
6.1728,280,0
7.2016,285,0
3.6008,290,0
2.572,280,0
2.572,40,0
2.572,310,0
2.572,270,0
2.572,255,0.016666667
5.144,285,0.016666667
5.144,300,0.016666667
3.6008,270,0.016666667
3.6008,270,0.016666667
2.572,280,0.016666667
3.0864,320,0.016666667
5.144,300,0.016666667
5.6584,290,0.016666667
6.1728,300,0.016666667
6.6872,310,0.016666667
8.2304,280,0.016666667
8.7448,270,0.016666667
6.1728,280,0.016666667
7.2016,270,0.016666667
5.6584,300,0.016666667
10.288,310,0.016666667
11.3168,300,0.016666667
10.288,300,0.016666667
10.288,300,0.016666667
8.7448,290,0.016666667
5.144,300,0.016666667
4.6296,225,0.016666667
3.6008,330,0.016666667
3.0864,350,0
2.572,330,0
3.0864,360,0
2.572,330,0
4.6296,315,0
4.1152,335,0
5.144,340,0
5.144,345,0
7.2016,330,0
8.2304,330,0
5.144,320,0
10.288,315,0
10.288,315,0
8.7448,320,0
8.7448,320,0
8.2304,320,0
6.1728,225,0
6.1728,320,0
3.6008,320,0
3.0864,330,0
3.6008,350,0
2.572,360,0
4.6296,360,0
4.1152,345,0
3.6008,350,0.008333333
4.1152,10,0.008333333
3.6008,10,0.008333333
2.572,75,0.008333333
2.0576,360,0.008333333
5.144,10,0.008333333
5.144,30,0.008333333
5.144,360,0.008333333
8.2304,10,0.008333333
8.2304,360,0.008333333
11.3168,330,0.008333333
10.288,300,0.008333333
8.7448,290,0.008333333
7.716,300,0.008333333
11.3168,300,0.008333333
12.86,310,0.008333333
10.288,300,0.008333333
10.288,300,0.008333333
10.288,300,0.008333333
8.2304,300,0.008333333
4.6296,300,0.008333333
5.144,315,0.008333333
2.572,360,0.008333333
1.0288,10,0.008333333
5.144,330,0
5.144,345,0
7.716,340,0
10.288,330,0
6.6872,330,0
10.288,320,0
5.144,340,0
7.2016,345,0
10.288,330,0
8.2304,320,0
10.288,320,0
9.7736,315,0
8.2304,310,0
9.2592,300,0
7.716,300,0
7.2016,300,0
6.1728,310,0
6.6872,300,0
6.1728,285,0
5.144,290,0
6.1728,310,0
5.6584,300,0
5.144,320,0
5.144,330,0
3.6008,340,0.058333333
3.6008,350,0.058333333
3.6008,340,0.058333333
3.0864,360,0.058333333
2.0576,345,0.058333333
2.0576,350,0.058333333
1.0288,280,0.058333333
3.0864,330,0.058333333
3.0864,10,0.058333333
5.144,10,0.058333333
5.144,25,0.058333333
4.6296,35,0.058333333
4.1152,30,0.058333333
5.144,30,0.058333333
4.1152,20,0.058333333
3.0864,20,0.058333333
2.0576,50,0.058333333
4.1152,30,0.058333333
3.6008,360,0.058333333
1.0288,45,0.058333333
1.0288,70,0.058333333
3.0864,255,0.058333333
2.0576,90,0.058333333
3.0864,255,0.058333333
1.5432,190,0
1.0288,140,0
2.0576,240,0
10.288,280,0
10.288,300,0
8.7448,310,0
5.6584,330,0
5.144,330,0
6.1728,330,0
8.2304,340,0
7.2016,340,0
6.1728,330,0
6.6872,330,0
6.1728,330,0
6.6872,310,0
7.2016,280,0
8.2304,290,0
8.2304,285,0
7.2016,285,0
7.2016,310,0
8.2304,310,0
7.716,310,0
3.6008,60,0
2.0576,45,0
1.0288,60,0
2.572,10,0
2.572,35,0
3.0864,40,0
5.6584,315,0
5.144,315,0
3.6008,310,0
5.144,310,0
5.144,300,0
6.6872,300,0
7.2016,315,0
9.2592,310,0
8.2304,310,0
9.2592,300,0
8.2304,290,0
8.2304,290,0
6.6872,280,0
6.1728,290,0
7.2016,290,0
5.6584,255,0
5.144,260,0
4.1152,260,0
4.1152,270,0
3.6008,285,0
3.0864,270,0
1.5432,190,0
2.0576,200,0
, ,0
, ,0
, ,0
2.0576,210,0
4.6296,195,0
4.1152,80,0
4.6296,160,0
5.144,160,0
7.2016,175,0
8.2304,175,0
7.716,175,0
8.2304,175,0
7.716,175,0
7.2016,175,0
5.144,160,0
6.1728,195,0
5.6584,195,0
5.144,190,0
4.6296,230,0
3.0864,260,0
